Input,Output
48.437500,'4241c000
48.500000,'42420000
48.562500,'42424000
48.625000,'42428000
48.687500,'4242c000
48.750000,'42430000
48.812500,'42434000
48.875000,'42438000
48.937500,'4243c000
49.000000,'42440000
49.062500,'42444000
49.125000,'42448000
49.187500,'4244c000
49.250000,'42450000
49.312500,'42454000
49.375000,'42458000
49.437500,'4245c000
49.500000,'42460000
49.562500,'42464000
49.625000,'42468000
49.687500,'4246c000
49.750000,'42470000
49.812500,'42474000
49.875000,'42478000
49.937500,'4247c000
50.000000,'42480000
50.062500,'42484000
50.125000,'42488000
50.187500,'4248c000
50.250000,'42490000
50.312500,'42494000
50.375000,'42498000
50.437500,'4249c000
50.500000,'424a0000
50.562500,'424a4000
50.625000,'424a8000
50.687500,'424ac000
50.750000,'424b0000
50.812500,'424b4000
50.875000,'424b8000
50.937500,'424bc000
51.000000,'424c0000
51.062500,'424c4000
51.125000,'424c8000
51.187500,'424cc000
51.250000,'424d0000
51.312500,'424d4000
51.375000,'424d8000
51.437500,'424dc000
51.500000,'424e0000
51.562500,'424e4000
51.625000,'424e8000
51.687500,'424ec000
51.750000,'424f0000
51.812500,'424f4000
51.875000,'424f8000
51.937500,'424fc000
52.000000,'42500000
52.062500,'42504000
52.125000,'42508000
52.187500,'4250c000
52.250000,'42510000
52.312500,'42514000
52.375000,'42518000
52.437500,'4251c000
52.500000,'42520000
52.562500,'42524000
52.625000,'42528000
52.687500,'4252c000
52.750000,'42530000
52.812500,'42534000
52.875000,'42538000
52.937500,'4253c000
53.000000,'42540000
53.062500,'42544000
53.125000,'42548000
53.187500,'4254c000
53.250000,'42550000
53.312500,'42554000
53.375000,'42558000
53.437500,'4255c000
53.500000,'42560000
53.562500,'42564000
53.625000,'42568000
53.687500,'4256c000
53.750000,'42570000
53.812500,'42574000
53.875000,'42578000
53.937500,'4257c000
54.000000,'42580000
54.062500,'42584000
54.125000,'42588000
54.187500,'4258c000
54.250000,'42590000
54.312500,'42594000
54.375000,'42598000
54.437500,'4259c000
54.500000,'425a0000
54.562500,'425a4000
54.625000,'425a8000
54.687500,'425ac000
54.750000,'425b0000
54.812500,'425b4000
54.875000,'425b8000
54.937500,'425bc000
55.000000,'425c0000
55.062500,'425c4000
55.125000,'425c8000
55.187500,'425cc000
55.250000,'425d0000
55.312500,'425d4000
55.375000,'425d8000
55.437500,'425dc000
55.500000,'425e0000
55.562500,'425e4000
55.625000,'425e8000
55.687500,'425ec000
55.750000,'425f0000
55.812500,'425f4000
55.875000,'425f8000
55.937500,'425fc000
56.000000,'42600000
56.062500,'42604000
56.125000,'42608000
56.187500,'4260c000
56.250000,'42610000
56.312500,'42614000
56.375000,'42618000
56.437500,'4261c000
56.500000,'42620000
56.562500,'42624000
56.625000,'42628000
56.687500,'4262c000
56.750000,'42630000
56.812500,'42634000
56.875000,'42638000
56.937500,'4263c000
57.000000,'42640000
57.062500,'42644000
57.125000,'42648000
57.187500,'4264c000
57.250000,'42650000
57.312500,'42654000
57.375000,'42658000
57.437500,'4265c000
57.500000,'42660000
57.562500,'42664000
57.625000,'42668000
57.687500,'4266c000
57.750000,'42670000
57.812500,'42674000
57.875000,'42678000
57.937500,'4267c000
58.000000,'42680000
58.062500,'42684000
58.125000,'42688000
58.187500,'4268c000
58.250000,'42690000
58.312500,'42694000
58.375000,'42698000
58.437500,'4269c000
58.500000,'426a0000
58.562500,'426a4000
58.625000,'426a8000
58.687500,'426ac000
58.750000,'426b0000
58.812500,'426b4000
58.875000,'426b8000
58.937500,'426bc000
59.000000,'426c0000
59.062500,'426c4000
59.125000,'426c8000
59.187500,'426cc000
59.250000,'426d0000
59.312500,'426d4000
59.375000,'426d8000
59.437500,'426dc000
59.500000,'426e0000
59.562500,'426e4000
59.625000,'426e8000
59.687500,'426ec000
59.750000,'426f0000
59.812500,'426f4000
59.875000,'426f8000
59.937500,'426fc000
60.000000,'42700000
60.062500,'42704000
60.125000,'42708000
60.187500,'4270c000
60.250000,'42710000
60.312500,'42714000
60.375000,'42718000
60.437500,'4271c000
60.500000,'42720000
60.562500,'42724000
60.625000,'42728000
60.687500,'4272c000
60.750000,'42730000
60.812500,'42734000
60.875000,'42738000
60.937500,'4273c000
61.000000,'42740000
61.062500,'42744000
61.125000,'42748000
61.187500,'4274c000
61.250000,'42750000
61.312500,'42754000
61.375000,'42758000
61.437500,'4275c000
61.500000,'42760000
61.562500,'42764000
61.625000,'42768000
61.687500,'4276c000
61.750000,'42770000
61.812500,'42774000
61.875000,'42778000
61.937500,'4277c000
62.000000,'42780000
62.062500,'42784000
62.125000,'42788000
62.187500,'4278c000
62.250000,'42790000
62.312500,'42794000
62.375000,'42798000
62.437500,'4279c000
62.500000,'427a0000
62.562500,'427a4000
62.625000,'427a8000
62.687500,'427ac000
62.750000,'427b0000
62.812500,'427b4000
62.875000,'427b8000
62.937500,'427bc000
63.000000,'427c0000
63.062500,'427c4000
63.125000,'427c8000
63.187500,'427cc000
63.250000,'427d0000
63.312500,'427d4000
63.375000,'427d8000
63.437500,'427dc000
63.500000,'427e0000
63.562500,'427e4000
63.625000,'427e8000
63.687500,'427ec000
63.750000,'427f0000
63.812500,'427f4000
63.875000,'427f8000
63.937500,'427fc000
64.000000,'42800000
