Input,Constant,Output
15.687500,5f3f0778,0.252476
15.750000,5f3f3982,0.251975
15.812500,5f3f6b64,0.251477
15.875000,5f3f9d1b,0.250982
15.937500,5f3fcea5,0.250490
16.000000,5f3fffff,0.250000
16.062500,5f3fc9c1,0.249513
16.125000,5f3f93bb,0.249029
16.187500,5f3f5df0,0.248548
16.250000,5f3f2862,0.248069
16.312500,5f3ef314,0.247594
16.375000,5f3ebe08,0.247121
16.437500,5f3e8940,0.246650
16.500000,5f3e54be,0.246183
16.562500,5f3e2083,0.245718
16.625000,5f3dec93,0.245255
16.687500,5f3db8ee,0.244795
16.750000,5f3d8597,0.244338
16.812500,5f3d528f,0.243884
16.875000,5f3d1fd9,0.243432
16.937500,5f3ced74,0.242982
17.000000,5f3cbb65,0.242535
17.062500,5f3c89ab,0.242090
17.125000,5f3c5849,0.241648
17.187500,5f3c273f,0.241208
17.250000,5f3bf690,0.240771
17.312500,5f3bc63c,0.240336
17.375000,5f3b9646,0.239903
17.437500,5f3b66ad,0.239473
17.500000,5f3b3774,0.239045
17.562500,5f3b089c,0.238619
17.625000,5f3ada25,0.238195
17.687500,5f3aac11,0.237774
17.750000,5f3a7e61,0.237355
17.812500,5f3a5116,0.236938
17.875000,5f3a2431,0.236524
17.937500,5f39f7b3,0.236111
18.000000,5f39cb9c,0.235701
18.062500,5f399fee,0.235293
18.125000,5f3974a8,0.234887
18.187500,5f3949cd,0.234483
18.250000,5f391f5d,0.234081
18.312500,5f38f558,0.233681
18.375000,5f38cbbf,0.233284
18.437500,5f38a293,0.232888
18.500000,5f3879d4,0.232494
18.562500,5f385182,0.232103
18.625000,5f38299f,0.231713
18.687500,5f38022b,0.231325
18.750000,5f37db26,0.230939
18.812500,5f37b491,0.230555
18.875000,5f378e6b,0.230173
18.937500,5f3768b6,0.229793
19.000000,5f374372,0.229415
19.062500,5f371e9e,0.229039
19.125000,5f36fa3c,0.228664
19.187500,5f36d64b,0.228291
19.250000,5f36b2cb,0.227921
19.312500,5f368fbd,0.227551
19.375000,5f366d22,0.227184
19.437500,5f364af8,0.226819
19.500000,5f362940,0.226455
19.562500,5f3607fb,0.226093
19.625000,5f35e728,0.225733
19.687500,5f35c6c7,0.225374
19.750000,5f35a6d8,0.225017
19.812500,5f35875b,0.224662
19.875000,5f356851,0.224309
19.937500,5f3549b9,0.223957
20.000000,5f352b93,0.223607
20.062500,5f350dde,0.223258
20.125000,5f34f09b,0.222911
20.187500,5f34d3ca,0.222566
20.250000,5f34b76b,0.222222
20.312500,5f349b7c,0.221880
20.375000,5f347fff,0.221539
20.437500,5f3464f2,0.221200
20.500000,5f344a56,0.220863
20.562500,5f34302a,0.220527
20.625000,5f34166e,0.220193
20.687500,5f33fd21,0.219860
20.750000,5f33e444,0.219528
20.812500,5f33cbd6,0.219199
20.875000,5f33b3d7,0.218870
20.937500,5f339c46,0.218543
21.000000,5f338522,0.218218
21.062500,5f336e6d,0.217894
21.125000,5f335824,0.217571
21.187500,5f334248,0.217250
21.250000,5f332cd9,0.216930
21.312500,5f3317d5,0.216612
21.375000,5f33033d,0.216295
21.437500,5f32ef0f,0.215980
